name,brewery_type,city,postal_code,website_url,state,colorado_cup_medal,colorado_cup_category,colorado_cup_beer,gabf_medal,gabf_category,gabf_beer,population,povertyRate
Elevation Beer Company,micro,Poncha Springs,81242,,Colorado,Colorado Cup Winner,Belgian and French Ales,Apis IV,,,,465,0.279
Elk Avenue Brewing Company,brewpub,Crested Butte,81224,,Colorado,,,,,,,3207,0.142
Endo Brewing Company,micro,Lafayette,80026,http://endobrewing.com,Colorado,,,,,,,30635,0.146
"Epic Brewing Co., LLC",micro,Denver,80205,http://www.epicbrewing.com,Colorado,,,,,,,34767,0.223
Equinox Brewing,micro,Fort Collins,80524,http://www.equinoxbrewing.com,Colorado,,,,,,,36122,0.334
Estes Park Brewery,micro,Estes Park,80517,http://www.epbrewery.net,Colorado,,,,,,,10344,0.182
Evergreen Brewery,brewpub,Evergreen,80439,http://www.evergreentaphouse.com,Colorado,,,,,,,24797,0.186
Factotum Brewhouse,micro,Denver,80211,http://www.factotumbrewhouse.com,Colorado,,,,,,,35310,0.166
FATE Brewing Company,brewpub,Boulder,80301,,Colorado,,,,,,,24783,0.165
Fermaentra,micro,Denver,80210,http://www.fermaentra.com,Colorado,,,,,,,34639,0.207
FH Beerworks,micro,Colorado Springs,80903,,Colorado,,,,,,,14503,0.292
FH Beerworks East,planning,Colorado Springs,80915,,Colorado,,,,,,,21478,0.195
Fiction Beer Company,micro,Denver,80220,http://www.fictionbeer.com,Colorado,,,,,,,35938,0.13
Finkel & Garf Brewing Co.,micro,Boulder,80301,http://www.finkelandgarf.com,Colorado,,,,,,,24783,0.165
Floodstage Ale Works,brewpub,Brighton,80601,http://www.floodstagealeworks.com,Colorado,,,,,,,38968,0.166
Florence Brewing Company,micro,Florence,81226,http://www.florencebrewing.com,Colorado,,,,,,,5448,0.345
Fossil Craft Beer Co,micro,Colorado Springs,80904,http://www.fossilcraftbeer.com,Colorado,,,,,,,19985,0.223
Frolic Brewing Company,brewpub,Westminster,80234,http://www.frolicbrewing.com,Colorado,,,,,,,28041,0.154
Front Range Brewing Co.,brewpub,Lafayette,80026,http://www.frontrangebrewingcompany.com,Colorado,,,,,,,30635,0.146
Funkwerks,micro,Fort Collins,80524,http://www.funkwerks.com,Colorado,,,,,,,36122,0.334
Gilded Goat Brewing Company,micro,Fort Collins,80525,http://www.gildedgoatbrewing.com,Colorado,,,,,,,54872,0.239
Glenwood Canyon Brewing Co,brewpub,Glenwood Springs,81601,http://www.glenwoodcanyon.com,Colorado,,,,Gold,Dortmunder or German-Style Oktoberfest,Festbier,15019,0.13
Goat Patch Brewing Co.,micro,Colorado Springs,80907,http://www.goatpatchbrewing.com,Colorado,,,,,,,28372,0.251
Gold Camp Brewing Co,micro,Colorado Springs,80903,,Colorado,,,,,,,14503,0.292
Golden Block Brewery,brewpub,Silverton,81433,http://www.goldenblockbrewery.com,Colorado,,,,,,,558,0.15
Golden City Brewery,brewpub,Golden,80401,,Colorado,,,,,,,39413,0.276
Goldspot Brewing Co,micro,Denver,80221,http://www.goldspotbrewing.com,Colorado,,,,,,,41235,0.225
Good River Beer Company,contract,Denver,80223,http://www.grbeerco.com,Colorado,,,,,,,19969,0.202
Gordon Biersch Brewery Restaurant - Broomfield,brewpub,Broomfield,80021,http://www.gordonbiersch.com/restaurant,Colorado,,,,,,,33743,0.141
Gore Range Brewery,brewpub,Edwards,81632,http://www.gorerangebrewery.com,Colorado,,,,,,,9299,0.225
Grand Adventure Brewing Company,brewpub,Kremmling,80459,http://www.grandadventure.us,Colorado,,,,,,,2796,0.354
"Grand Lake Brewing Co, The",brewpub,Arvada,80002,http://www.grandlakebrewing.com,Colorado,,,,,,,18846,0.207
Grandma's House,micro,Denver,80210,http://www.grandmasbeer.com,Colorado,,,,,,,34639,0.207
Gravity Brewing,micro,Louisville,80027,http://www.thegravitybrewing.com,Colorado,,,,,,,33830,0.18
Great Divide Brewery & Roadhouse - Castle Rock,brewpub,Castle Rock,80104,https://www.greatdividebreweryandroadhouse.com/,Colorado,,,,,,,31278,0.15
Great Divide Brewery & Roadhouse - Lone Tree,brewpub,Lone Tree,80124,https://www.greatdividebreweryandroadhouse.com/,Colorado,,,,,,,21264,0.139
Great Divide Brewing Co,regional,Denver,80205,http://www.greatdivide.com,Colorado,,,,,,,34767,0.223
Great Divide Brewing Co - RiNo Barrel Bar,micro,Denver,80216,http://greatdivide.com/,Colorado,,,,,,,13029,0.226
Great Frontier Brewing Company,micro,Lakewood,80227,http://www.greatfrontierbeer.com,Colorado,,,,,,,34766,0.114
Green Earth Brewing Company,micro,Greeley,80631,http://www.greenearthbrewingco.com,Colorado,,,,,,,50069,0.411
Green Mountain Beer Company,micro,Lakewood,80227,http://www.greenmountainbeercompany.com,Colorado,,,,,,,34766,0.114
"Grimm Brothers Brewhouse, LLC",micro,Loveland,80537,http://www.grimmbeer.com,Colorado,,,,,,,43100,0.143
Grist Brewing Company,closed,Highlands Ranch,80129,http://gristbrewingcompany.com,Colorado,,,,,,,31244,0.121
Grossen Bart Brewery,micro,Longmont,80501,http://www.grossenbart.com,Colorado,,,,,,,41671,0.231
"Guanella Pass Brewing Company, LLC",micro,Georgetown,80444,http://www.guanellapass.com,Colorado,,,,,,,1048,0.08
Gunbarrel Brewing Company,micro,Boulder,80301,http://www.gunbarrelbrewing.com,Colorado,,,,,,,24783,0.165
Halfpenny Brewing Company,micro,Centennial,80122,http://www.halfpennybrewing.com,Colorado,,,,,,,32927,0.104
Hideaway Park Brewery,micro,Winter Park,80482,http://www.hideawayparkbrewery.com,Colorado,Colorado Cup Winner,Pale Bitter European Lagers,Dortmunder,,,,831,0.038
Hideaway Park Brewery,micro,Winter Park,80482,http://www.hideawayparkbrewery.com,Colorado,Colorado Cup Winner,Hoppy Pale American & International Lagers,Publik Skool Pilsner,,,,831,0.038
High Alpine Brewing Company,brewpub,Gunnison,81230,http://www.highalpinebrewing.com,Colorado,,,,,,,9978,0.344
High Hops Brewery,micro,Windsor,80550,http://www.highhopsbrewery.com,Colorado,,,,,,,30399,0.114
HighSide Brewery,micro,Frisco,80443,http://www.highsidebrewing.com,Colorado,,,,,,,4483,0.108
Hogshead Brewery,micro,Denver,80212,http://www.hogsheadbrewery.com,Colorado,,,,,,,19446,0.192
Holidaily Brewing Co,micro,Golden,80403,http://www.holidailybrewing.com,Colorado,,,,,,,20481,0.209
Holidaily Production Facility,planning,Golden,80403,,Colorado,,,,,,,20481,0.209
Horse & Dragon Brewing Company,micro,Fort Collins,80524,http://www.horseanddragonbrewing.com,Colorado,,,,,,,36122,0.334
Horsefly Brewing Co,brewpub,Montrose,81401,http://www.horseflybrewing.com,Colorado,,,,,,,22141,0.299
IDK Beer Co,planning,Lakewood,80228,,Colorado,,,,,,,34015,0.143
Idylwilde Brewing,micro,Carbondale,81623,http://idylwildebrewing.com,Colorado,,,,,,,16977,0.212
Incantation Brewing,micro,Aurora,80013,https://www.incantation.beer/,Colorado,Colorado Cup Winner,"Herb, Spice, & Smoked Beers",Signals,,,,73867,0.165
Incline Brewing,planning,Larkspur,80118,,Colorado,,,,,,,6474,0.195
Industrial Revolution Brewing Company,micro,Erie,80516,,Colorado,,,,,,,28166,0.175
Intersect Brewing,micro,Fort Collins,80526,http://www.intersectbrewing.com,Colorado,,,,,,,45664,0.354
Iron Bird Brewing Co.,brewpub,Colorado Springs,80903,http://www.ironbirdbrewing.com,Colorado,,,,,,,14503,0.292
Iron Mule Brewery,micro,Castle Rock,80104,https://www.ironmulebrewery.com/,Colorado,,,,,,,31278,0.15
Iron Tree Table & Taps,brewpub,Florissant,80816,http://www.irontreerestaurant.com,Colorado,,,,,,,6261,0.132
Ironworks Brewery & Pub,brewpub,Lakewood,80228,http://www.ironworkspub.com,Colorado,,,,,,,34015,0.143
Irwin Brewing Company,micro,Crested Butte,81224,http://www.irwinbrewingco.com,Colorado,,,,,,,3207,0.142
